business_status,formatted_address,name,place_id,store,zipcode,lat,lng,average income
OPERATIONAL,"1111 Gallatin Ave, Nashville, TN 37206, United States",Publix Super Market at Hill Center Greenwood,ChIJo1BntQxnZIgRVy3irO052Aw,Publix,37206,36.1898456,-86.7449475,59203.0
OPERATIONAL,"2324 Lebanon Pike, Nashville, TN 37214, United States",Publix Super Market at The Crossings,ChIJWUi8eAtpZIgRPF38_Ur2HUI,Publix,37214,36.1707831,-86.68399869999999,61558.0
OPERATIONAL,"Dr Martin L King Jr Blvd, 1010, Nashville, TN 37203, United States",Publix Super Market at Capitol View,ChIJ_3hhuz9nZIgROr9342w22Ic,Publix,37203,36.1630486,-86.7903632,57330.0
OPERATIONAL,"2223 8th Ave S, Nashville, TN 37204, United States",Publix Super Market at Melrose,ChIJk7x8rgRlZIgR_IE1tuwSKd4,Publix,37204,36.1289223,-86.7785782,87292.0
OPERATIONAL,"4324 Harding Pike, Nashville, TN 37205, United States",Publix Super Market at Hill Center at Belle Meade,ChIJ_98e89xjZIgRkX7e3TmFvyw,Publix,37205,36.1267417,-86.84754,106241.0
OPERATIONAL,"6614 Charlotte Pike, Nashville, TN 37209, United States",Publix Super Market at Hill Center at Nashville West,ChIJbSHs2IphZIgRVNJFmBoOn3c,Publix,37209,36.1401562,-86.8829001,54461.0
OPERATIONAL,"15544 Old Hickory Blvd, Nashville, TN 37211, United States",Publix Super Market at Nippers Corner,ChIJ7TeeCqp6ZIgR53JibCrWoiI,Publix,15544,36.04102719999999,-86.7414412,
OPERATIONAL,"1010 Dr. M.L.K. Jr Blvd, Nashville, TN 37203, United States",Publix Pharmacy at Capitol View,ChIJf-djhepnZIgRqf28K2__xxM,Publix,37203,36.1628977,-86.78926129999999,57330.0
OPERATIONAL,"7604 Hwy 70 S, Nashville, TN 37221, United States",Publix Super Market at Bellevue Center,ChIJH8eunvaIZIgRO7DL3Ok9ayE,Publix,37221,36.0784138,-86.9455024,83331.0
OPERATIONAL,"3410 Gallatin Pike, Nashville, TN 37216, United States",Kroger,ChIJZyYDJgVoZIgRp_UaluUQWjY,Kroger,37216,36.2101364,-86.73166479999999,61641.0
OPERATIONAL,"711 Gallatin Ave, Nashville, TN 37206, United States",Kroger,ChIJCyiJ2tBnZIgReYaDDx5KLEM,Kroger,37206,36.1844297,-86.7468566,59203.0
OPERATIONAL,"143 McGavock Pk, Nashville, TN 37214, United States",Kroger,ChIJ01nR5XRpZIgR9acvgLYOuAA,Kroger,37214,36.1708586,-86.6787306,61558.0
OPERATIONAL,"800 Monroe St, Nashville, TN 37208, United States",Kroger,ChIJ0f1NweJmZIgRYnc_3nqNyag,Kroger,37208,36.1758803,-86.7942479,39964.0
